question,segment_type,segment_description,answer,count,percentage
Best stories on Snapchat discover?,University,University of Nebraska,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Nebraska,People,0,0.0
Best stories on Snapchat discover?,University,University of Nebraska,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Nebraska,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Nebraska,Never watched those / other,1,0.5
Best stories on Snapchat discover?,University,Washington University in St. Louis,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Washington University in St. Louis,Vice,0,0.0
Best stories on Snapchat discover?,University,Washington University in St. Louis,Buzzfeed,1,1.0
Best stories on Snapchat discover?,University,Washington University in St. Louis,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Washington University in St. Louis,People,0,0.0
Best stories on Snapchat discover?,University,Washington University in St. Louis,ESPN,0,0.0
Best stories on Snapchat discover?,University,Washington University in St. Louis,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Washington University in St. Louis,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Oklahoma State University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Oklahoma State University,Vice,0,0.0
Best stories on Snapchat discover?,University,Oklahoma State University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Oklahoma State University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Oklahoma State University,People,0,0.0
Best stories on Snapchat discover?,University,Oklahoma State University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Oklahoma State University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Oklahoma State University,Never watched those / other,1,1.0
Best stories on Snapchat discover?,University,Indiana University,Daily Mail,1,0.015
Best stories on Snapchat discover?,University,Indiana University,Vice,8,0.119
Best stories on Snapchat discover?,University,Indiana University,Buzzfeed,15,0.224
Best stories on Snapchat discover?,University,Indiana University,Comedy Central,6,0.09
Best stories on Snapchat discover?,University,Indiana University,People,0,0.0
Best stories on Snapchat discover?,University,Indiana University,ESPN,15,0.224
Best stories on Snapchat discover?,University,Indiana University,Cosmo,9,0.134
Best stories on Snapchat discover?,University,Indiana University,Never watched those / other,13,0.194
Best stories on Snapchat discover?,University,University of Central Arkansas,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Central Arkansas,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Central Arkansas,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,University of Central Arkansas,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Central Arkansas,People,1,1.0
Best stories on Snapchat discover?,University,University of Central Arkansas,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Central Arkansas,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Central Arkansas,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,London School of Economics,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,London School of Economics,Vice,0,0.0
Best stories on Snapchat discover?,University,London School of Economics,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,London School of Economics,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,London School of Economics,People,0,0.0
Best stories on Snapchat discover?,University,London School of Economics,ESPN,0,0.0
Best stories on Snapchat discover?,University,London School of Economics,Cosmo,0,0.0
Best stories on Snapchat discover?,University,London School of Economics,Never watched those / other,1,1.0
