question,segment_type,segment_description,answer,count,percentage
Best stories on Snapchat discover?,University,Middlebury College,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Middlebury College,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Adrian College,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Adrian College,Vice,0,0.0
Best stories on Snapchat discover?,University,Adrian College,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Adrian College,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Adrian College,People,0,0.0
Best stories on Snapchat discover?,University,Adrian College,ESPN,0,0.0
Best stories on Snapchat discover?,University,Adrian College,Cosmo,1,1.0
Best stories on Snapchat discover?,University,Adrian College,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Emily Carr University of Art and Design,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Emily Carr University of Art and Design,Vice,0,0.0
Best stories on Snapchat discover?,University,Emily Carr University of Art and Design,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Emily Carr University of Art and Design,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Emily Carr University of Art and Design,People,0,0.0
Best stories on Snapchat discover?,University,Emily Carr University of Art and Design,ESPN,0,0.0
Best stories on Snapchat discover?,University,Emily Carr University of Art and Design,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Emily Carr University of Art and Design,Never watched those / other,1,1.0
Best stories on Snapchat discover?,University,Florida International University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Florida International University,Vice,0,0.0
Best stories on Snapchat discover?,University,Florida International University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Florida International University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Florida International University,People,0,0.0
Best stories on Snapchat discover?,University,Florida International University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Florida International University,Cosmo,1,1.0
Best stories on Snapchat discover?,University,Florida International University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Colorado Mesa University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Colorado Mesa University,Vice,0,0.0
Best stories on Snapchat discover?,University,Colorado Mesa University,Buzzfeed,1,1.0
Best stories on Snapchat discover?,University,Colorado Mesa University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Colorado Mesa University,People,0,0.0
Best stories on Snapchat discover?,University,Colorado Mesa University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Colorado Mesa University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Colorado Mesa University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Indiana State University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Indiana State University,Vice,0,0.0
Best stories on Snapchat discover?,University,Indiana State University,Buzzfeed,2,1.0
Best stories on Snapchat discover?,University,Indiana State University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Indiana State University,People,0,0.0
Best stories on Snapchat discover?,University,Indiana State University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Indiana State University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Indiana State University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Azusa Pacific University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Azusa Pacific University,Vice,0,0.0
Best stories on Snapchat discover?,University,Azusa Pacific University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Azusa Pacific University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Azusa Pacific University,People,0,0.0
Best stories on Snapchat discover?,University,Azusa Pacific University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Azusa Pacific University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Azusa Pacific University,Never watched those / other,1,1.0
Best stories on Snapchat discover?,University,Cal State San Marcos,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Cal State San Marcos,Vice,0,0.0
Best stories on Snapchat discover?,University,Cal State San Marcos,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Cal State San Marcos,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Cal State San Marcos,People,0,0.0
Best stories on Snapchat discover?,University,Cal State San Marcos,ESPN,0,0.0
Best stories on Snapchat discover?,University,Cal State San Marcos,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Cal State San Marcos,Never watched those / other,1,1.0
Best stories on Snapchat discover?,University,Illinois State,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Illinois State,Vice,0,0.0
Best stories on Snapchat discover?,University,Illinois State,Buzzfeed,1,0.143
Best stories on Snapchat discover?,University,Illinois State,Comedy Central,1,0.143
Best stories on Snapchat discover?,University,Illinois State,People,0,0.0
Best stories on Snapchat discover?,University,Illinois State,ESPN,4,0.571
Best stories on Snapchat discover?,University,Illinois State,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Illinois State,Never watched those / other,1,0.143
Best stories on Snapchat discover?,University,University of Connecticut,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Connecticut,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Connecticut,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,University of Connecticut,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Connecticut,People,0,0.0
Best stories on Snapchat discover?,University,University of Connecticut,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Connecticut,Cosmo,1,0.333
Best stories on Snapchat discover?,University,University of Connecticut,Never watched those / other,2,0.667
Best stories on Snapchat discover?,University,Arkansas State University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Arkansas State University,Vice,0,0.0
Best stories on Snapchat discover?,University,Arkansas State University,Buzzfeed,2,0.5
Best stories on Snapchat discover?,University,Arkansas State University,Comedy Central,1,0.25
Best stories on Snapchat discover?,University,Arkansas State University,People,0,0.0
Best stories on Snapchat discover?,University,Arkansas State University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Arkansas State University,Cosmo,1,0.25
Best stories on Snapchat discover?,University,Arkansas State University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Boston University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Boston University,Vice,3,0.103
Best stories on Snapchat discover?,University,Boston University,Buzzfeed,14,0.483
Best stories on Snapchat discover?,University,Boston University,Comedy Central,3,0.103
Best stories on Snapchat discover?,University,Boston University,People,0,0.0
Best stories on Snapchat discover?,University,Boston University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Boston University,Cosmo,4,0.138
Best stories on Snapchat discover?,University,Boston University,Never watched those / other,5,0.172
Best stories on Snapchat discover?,University,James Madison University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,James Madison University,Vice,0,0.0
Best stories on Snapchat discover?,University,James Madison University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,James Madison University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,James Madison University,People,0,0.0
Best stories on Snapchat discover?,University,James Madison University,ESPN,2,0.5
Best stories on Snapchat discover?,University,James Madison University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,James Madison University,Never watched those / other,2,0.5
Best stories on Snapchat discover?,University,Case Western Reserve University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Case Western Reserve University,Vice,0,0.0
Best stories on Snapchat discover?,University,Case Western Reserve University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Case Western Reserve University,Comedy Central,1,1.0
Best stories on Snapchat discover?,University,Case Western Reserve University,People,0,0.0
Best stories on Snapchat discover?,University,Case Western Reserve University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Case Western Reserve University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Case Western Reserve University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,University of Rochester,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Rochester,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Rochester,Buzzfeed,1,1.0
Best stories on Snapchat discover?,University,University of Rochester,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Rochester,People,0,0.0
Best stories on Snapchat discover?,University,University of Rochester,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Rochester,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Rochester,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Loyola University Maryland,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Loyola University Maryland,Vice,0,0.0
Best stories on Snapchat discover?,University,Loyola University Maryland,Buzzfeed,1,0.5
Best stories on Snapchat discover?,University,Loyola University Maryland,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Loyola University Maryland,People,0,0.0
Best stories on Snapchat discover?,University,Loyola University Maryland,ESPN,0,0.0
Best stories on Snapchat discover?,University,Loyola University Maryland,Cosmo,1,0.5
Best stories on Snapchat discover?,University,Loyola University Maryland,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,University of Central Missouri,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Central Missouri,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Central Missouri,Buzzfeed,2,0.667
Best stories on Snapchat discover?,University,University of Central Missouri,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Central Missouri,People,0,0.0
Best stories on Snapchat discover?,University,University of Central Missouri,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Central Missouri,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Central Missouri,Never watched those / other,1,0.333
Best stories on Snapchat discover?,University,University of Kentucky,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Kentucky,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Kentucky,Buzzfeed,2,0.5
Best stories on Snapchat discover?,University,University of Kentucky,Comedy Central,1,0.25
Best stories on Snapchat discover?,University,University of Kentucky,People,0,0.0
Best stories on Snapchat discover?,University,University of Kentucky,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Kentucky,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Kentucky,Never watched those / other,1,0.25
Best stories on Snapchat discover?,University,"California State Polytechnic University, Pomona",Daily Mail,1,1.0
Best stories on Snapchat discover?,University,"California State Polytechnic University, Pomona",Vice,0,0.0
Best stories on Snapchat discover?,University,"California State Polytechnic University, Pomona",Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,"California State Polytechnic University, Pomona",Comedy Central,0,0.0
Best stories on Snapchat discover?,University,"California State Polytechnic University, Pomona",People,0,0.0
Best stories on Snapchat discover?,University,"California State Polytechnic University, Pomona",ESPN,0,0.0
Best stories on Snapchat discover?,University,"California State Polytechnic University, Pomona",Cosmo,0,0.0
Best stories on Snapchat discover?,University,"California State Polytechnic University, Pomona",Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Texas State University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Texas State University,Vice,0,0.0
Best stories on Snapchat discover?,University,Texas State University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Texas State University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Texas State University,People,0,0.0
Best stories on Snapchat discover?,University,Texas State University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Texas State University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Texas State University,Never watched those / other,1,1.0
Best stories on Snapchat discover?,University,Washington State University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Washington State University,Vice,0,0.0
Best stories on Snapchat discover?,University,Washington State University,Buzzfeed,1,0.333
Best stories on Snapchat discover?,University,Washington State University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Washington State University,People,0,0.0
Best stories on Snapchat discover?,University,Washington State University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Washington State University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Washington State University,Never watched those / other,2,0.667
Best stories on Snapchat discover?,University,San Francisco,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,San Francisco,Vice,0,0.0
Best stories on Snapchat discover?,University,San Francisco,Buzzfeed,1,1.0
Best stories on Snapchat discover?,University,San Francisco,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,San Francisco,People,0,0.0
Best stories on Snapchat discover?,University,San Francisco,ESPN,0,0.0
Best stories on Snapchat discover?,University,San Francisco,Cosmo,0,0.0
Best stories on Snapchat discover?,University,San Francisco,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Tarleton State University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Tarleton State University,Vice,0,0.0
Best stories on Snapchat discover?,University,Tarleton State University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Tarleton State University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Tarleton State University,People,0,0.0
Best stories on Snapchat discover?,University,Tarleton State University,ESPN,1,0.5
Best stories on Snapchat discover?,University,Tarleton State University,Cosmo,1,0.5
Best stories on Snapchat discover?,University,Tarleton State University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Arroyo High School,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Arroyo High School,Vice,0,0.0
Best stories on Snapchat discover?,University,Arroyo High School,Buzzfeed,1,0.5
Best stories on Snapchat discover?,University,Arroyo High School,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Arroyo High School,People,0,0.0
Best stories on Snapchat discover?,University,Arroyo High School,ESPN,0,0.0
Best stories on Snapchat discover?,University,Arroyo High School,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Arroyo High School,Never watched those / other,1,0.5
Best stories on Snapchat discover?,University,Birdville High School,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Birdville High School,Vice,0,0.0
Best stories on Snapchat discover?,University,Birdville High School,Buzzfeed,1,1.0
Best stories on Snapchat discover?,University,Birdville High School,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Birdville High School,People,0,0.0
Best stories on Snapchat discover?,University,Birdville High School,ESPN,0,0.0
Best stories on Snapchat discover?,University,Birdville High School,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Birdville High School,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,University of Denver,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Denver,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Denver,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,University of Denver,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Denver,People,0,0.0
Best stories on Snapchat discover?,University,University of Denver,ESPN,1,1.0
Best stories on Snapchat discover?,University,University of Denver,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Denver,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Indiana University of Pennsylvania,Daily Mail,1,1.0
Best stories on Snapchat discover?,University,Indiana University of Pennsylvania,Vice,0,0.0
Best stories on Snapchat discover?,University,Indiana University of Pennsylvania,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Indiana University of Pennsylvania,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Indiana University of Pennsylvania,People,0,0.0
Best stories on Snapchat discover?,University,Indiana University of Pennsylvania,ESPN,0,0.0
Best stories on Snapchat discover?,University,Indiana University of Pennsylvania,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Indiana University of Pennsylvania,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,University of North Carolina at Charlotte,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of North Carolina at Charlotte,Vice,0,0.0
Best stories on Snapchat discover?,University,University of North Carolina at Charlotte,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,University of North Carolina at Charlotte,Comedy Central,1,0.5
Best stories on Snapchat discover?,University,University of North Carolina at Charlotte,People,0,0.0
Best stories on Snapchat discover?,University,University of North Carolina at Charlotte,ESPN,1,0.5
Best stories on Snapchat discover?,University,University of North Carolina at Charlotte,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of North Carolina at Charlotte,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Binghamtom University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Binghamtom University,Vice,0,0.0
Best stories on Snapchat discover?,University,Binghamtom University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Binghamtom University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Binghamtom University,People,0,0.0
Best stories on Snapchat discover?,University,Binghamtom University,ESPN,1,0.5
Best stories on Snapchat discover?,University,Binghamtom University,Cosmo,1,0.5
Best stories on Snapchat discover?,University,Binghamtom University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Loyola Marymount University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Loyola Marymount University,Vice,0,0.0
Best stories on Snapchat discover?,University,Loyola Marymount University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Loyola Marymount University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Loyola Marymount University,People,0,0.0
Best stories on Snapchat discover?,University,Loyola Marymount University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Loyola Marymount University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Loyola Marymount University,Never watched those / other,1,1.0
Best stories on Snapchat discover?,University,Point Pleasant High School,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Point Pleasant High School,Vice,0,0.0
Best stories on Snapchat discover?,University,Point Pleasant High School,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Point Pleasant High School,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Point Pleasant High School,People,0,0.0
Best stories on Snapchat discover?,University,Point Pleasant High School,ESPN,0,0.0
Best stories on Snapchat discover?,University,Point Pleasant High School,Cosmo,1,1.0
Best stories on Snapchat discover?,University,Point Pleasant High School,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Brock University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Brock University,Vice,0,0.0
Best stories on Snapchat discover?,University,Brock University,Buzzfeed,1,0.5
Best stories on Snapchat discover?,University,Brock University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Brock University,People,0,0.0
Best stories on Snapchat discover?,University,Brock University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Brock University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Brock University,Never watched those / other,1,0.5
Best stories on Snapchat discover?,University,University of South Carolina,Daily Mail,1,0.2
Best stories on Snapchat discover?,University,University of South Carolina,Vice,0,0.0
Best stories on Snapchat discover?,University,University of South Carolina,Buzzfeed,1,0.2
Best stories on Snapchat discover?,University,University of South Carolina,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of South Carolina,People,0,0.0
Best stories on Snapchat discover?,University,University of South Carolina,ESPN,1,0.2
Best stories on Snapchat discover?,University,University of South Carolina,Cosmo,2,0.4
Best stories on Snapchat discover?,University,University of South Carolina,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Worcester Polytechnic Institute,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Worcester Polytechnic Institute,Vice,0,0.0
Best stories on Snapchat discover?,University,Worcester Polytechnic Institute,Buzzfeed,1,0.5
Best stories on Snapchat discover?,University,Worcester Polytechnic Institute,Comedy Central,1,0.5
Best stories on Snapchat discover?,University,Worcester Polytechnic Institute,People,0,0.0
Best stories on Snapchat discover?,University,Worcester Polytechnic Institute,ESPN,0,0.0
Best stories on Snapchat discover?,University,Worcester Polytechnic Institute,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Worcester Polytechnic Institute,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Kutztown University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Kutztown University,Vice,0,0.0
Best stories on Snapchat discover?,University,Kutztown University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Kutztown University,Comedy Central,1,1.0
Best stories on Snapchat discover?,University,Kutztown University,People,0,0.0
Best stories on Snapchat discover?,University,Kutztown University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Kutztown University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Kutztown University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Arkansas Tech University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Arkansas Tech University,Vice,0,0.0
Best stories on Snapchat discover?,University,Arkansas Tech University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Arkansas Tech University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Arkansas Tech University,People,0,0.0
Best stories on Snapchat discover?,University,Arkansas Tech University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Arkansas Tech University,Cosmo,1,0.5
Best stories on Snapchat discover?,University,Arkansas Tech University,Never watched those / other,1,0.5
Best stories on Snapchat discover?,University,University of North Carolina at Greensboro,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of North Carolina at Greensboro,Vice,0,0.0
Best stories on Snapchat discover?,University,University of North Carolina at Greensboro,Buzzfeed,1,0.5
Best stories on Snapchat discover?,University,University of North Carolina at Greensboro,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of North Carolina at Greensboro,People,0,0.0
Best stories on Snapchat discover?,University,University of North Carolina at Greensboro,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of North Carolina at Greensboro,Cosmo,1,0.5
Best stories on Snapchat discover?,University,University of North Carolina at Greensboro,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,University of Mount Union,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Mount Union,Vice,1,1.0
Best stories on Snapchat discover?,University,University of Mount Union,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,University of Mount Union,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Mount Union,People,0,0.0
Best stories on Snapchat discover?,University,University of Mount Union,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Mount Union,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Mount Union,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,University of Oregon,Daily Mail,1,0.2
Best stories on Snapchat discover?,University,University of Oregon,Vice,1,0.2
Best stories on Snapchat discover?,University,University of Oregon,Buzzfeed,1,0.2
Best stories on Snapchat discover?,University,University of Oregon,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Oregon,People,0,0.0
Best stories on Snapchat discover?,University,University of Oregon,ESPN,1,0.2
Best stories on Snapchat discover?,University,University of Oregon,Cosmo,1,0.2
Best stories on Snapchat discover?,University,University of Oregon,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Centre College,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Centre College,Vice,1,0.333
Best stories on Snapchat discover?,University,Centre College,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Centre College,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Centre College,People,0,0.0
Best stories on Snapchat discover?,University,Centre College,ESPN,0,0.0
Best stories on Snapchat discover?,University,Centre College,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Centre College,Never watched those / other,2,0.667
Best stories on Snapchat discover?,University,Syracuse University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Syracuse University,Vice,0,0.0
Best stories on Snapchat discover?,University,Syracuse University,Buzzfeed,2,0.222
Best stories on Snapchat discover?,University,Syracuse University,Comedy Central,2,0.222
Best stories on Snapchat discover?,University,Syracuse University,People,0,0.0
Best stories on Snapchat discover?,University,Syracuse University,ESPN,2,0.222
Best stories on Snapchat discover?,University,Syracuse University,Cosmo,1,0.111
Best stories on Snapchat discover?,University,Syracuse University,Never watched those / other,2,0.222
Best stories on Snapchat discover?,University,Northern Arizona University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Northern Arizona University,Vice,0,0.0
Best stories on Snapchat discover?,University,Northern Arizona University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Northern Arizona University,Comedy Central,1,1.0
Best stories on Snapchat discover?,University,Northern Arizona University,People,0,0.0
Best stories on Snapchat discover?,University,Northern Arizona University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Northern Arizona University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Northern Arizona University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,State University of New York Geneso,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,State University of New York Geneso,Vice,0,0.0
Best stories on Snapchat discover?,University,State University of New York Geneso,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,State University of New York Geneso,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,State University of New York Geneso,People,0,0.0
Best stories on Snapchat discover?,University,State University of New York Geneso,ESPN,0,0.0
Best stories on Snapchat discover?,University,State University of New York Geneso,Cosmo,0,0.0
Best stories on Snapchat discover?,University,State University of New York Geneso,Never watched those / other,1,1.0
Best stories on Snapchat discover?,University,Wesleyan University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Wesleyan University,Vice,0,0.0
Best stories on Snapchat discover?,University,Wesleyan University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Wesleyan University,Comedy Central,1,1.0
Best stories on Snapchat discover?,University,Wesleyan University,People,0,0.0
Best stories on Snapchat discover?,University,Wesleyan University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Wesleyan University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Wesleyan University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Colorado Academy,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Colorado Academy,Vice,0,0.0
Best stories on Snapchat discover?,University,Colorado Academy,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Colorado Academy,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Colorado Academy,People,0,0.0
Best stories on Snapchat discover?,University,Colorado Academy,ESPN,1,1.0
Best stories on Snapchat discover?,University,Colorado Academy,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Colorado Academy,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,United States Naval Academy,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,United States Naval Academy,Vice,0,0.0
Best stories on Snapchat discover?,University,United States Naval Academy,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,United States Naval Academy,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,United States Naval Academy,People,0,0.0
Best stories on Snapchat discover?,University,United States Naval Academy,ESPN,1,0.333
Best stories on Snapchat discover?,University,United States Naval Academy,Cosmo,0,0.0
Best stories on Snapchat discover?,University,United States Naval Academy,Never watched those / other,2,0.667
Best stories on Snapchat discover?,University,George Washington University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,George Washington University,Vice,1,0.1
Best stories on Snapchat discover?,University,George Washington University,Buzzfeed,2,0.2
Best stories on Snapchat discover?,University,George Washington University,Comedy Central,1,0.1
Best stories on Snapchat discover?,University,George Washington University,People,0,0.0
Best stories on Snapchat discover?,University,George Washington University,ESPN,3,0.3
Best stories on Snapchat discover?,University,George Washington University,Cosmo,3,0.3
Best stories on Snapchat discover?,University,George Washington University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Ohio University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Ohio University,Vice,0,0.0
Best stories on Snapchat discover?,University,Ohio University,Buzzfeed,3,0.375
Best stories on Snapchat discover?,University,Ohio University,Comedy Central,1,0.125
Best stories on Snapchat discover?,University,Ohio University,People,0,0.0
Best stories on Snapchat discover?,University,Ohio University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Ohio University,Cosmo,4,0.5
Best stories on Snapchat discover?,University,Ohio University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Whatsgoodly University,Daily Mail,1,0.5
Best stories on Snapchat discover?,University,Whatsgoodly University,Vice,1,0.5
Best stories on Snapchat discover?,University,Whatsgoodly University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Whatsgoodly University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Whatsgoodly University,People,0,0.0
Best stories on Snapchat discover?,University,Whatsgoodly University,ESPN,0,0.0
